id,created_at,text,author.id,author.name,author.public_metrics.followers_count,public_metrics.like_count,public_metrics.retweet_count,lang,label,hashtags,tweet_entities
1075677468294635522,2018-12-20T09:01:08.000Z,rt @gamecentral: borderland 2 vr rough ready world work better think.\n\nnick gillett give take @2k's rock-...,138749160,Metro,357471,0,1,en,en,[],"[('2', 'CARDINAL'), ('@2k', 'GPE')]"
670304079214702592,2015-11-27T18:12:00.000Z,'the world's sexiest robot'... apparently https://t.co/ftwd4wv886 https://t.co/j0xjsud98i,34655603,The Sun,2008106,3,5,en,en,[],[]
1085566226116628480,2019-01-16T15:55:31.000Z,un antepasado del que sabiamos nada #ciencia #neardental #denisovano #inteligenciaartificial https://t.co/q7t96tph3e,38640768,La Voz de Galicia,402899,2,1,es,es,"['#ciencia', '#neardental', '#denisovano', '#inteligenciaartificial']","[('un', 'ORG'), ('#', 'CARDINAL'), ('neardental', 'ORG'), ('#', 'CARDINAL'), ('#', 'CARDINAL')]"
968059526594420736,2018-02-26T09:45:51.000Z,"im neuen #porsche ""mission e"" steckt die blockchain - und noch viel mehr. spannende einblicke hinter die kulissen de autobauers von @mw_buchenau_ \nhttps://t.co/l2bqyttdua #handelsblatt",53023065,Lars Ophüls,991,3,3,de,de,"['#porsche', '#handelsblatt']","[('kulissen de autobauers von', 'PERSON'), ('\\nhttps://t.co', 'PERSON')]"
784508641508483072,2016-10-07T21:40:10.000Z,tweede wereldoorlog virtual reality herbeleven met app https://t.co/xnwxywbpsg,14702725,De Gelderlander,76235,2,3,nl,nl,[],[]
740978583859015680,2016-06-09T18:47:15.000Z,four-legged robot horse track fugitive withstand attack https://t.co/laboprzjdl https://t.co/uu8pnawvww,16887175,The Mirror,1358952,2,4,en,en,[],"[('four', 'CARDINAL')]"
889448423979659264,2017-07-24T11:33:24.000Z,#rediff l'intelligence artificielle l'assaut de no logements https://t.co/1zou9qpwft,1568568853,Le Figaro Économie,40421,2,6,fr,fr,['#rediff'],"[('#', 'CARDINAL')]"
713333779960606720,2016-03-25T11:56:40.000Z,rt @elpais_tec: microsoft retira un robot que hizo comentarios racistas en twitter. https://t.co/9i9qnr0c7s,7996082,EL PAÍS,8637695,0,46,es,es,[],"[('@elpais_tec', 'NORP'), ('microsoft', 'ORG'), ('retira un robot que hizo', 'FAC')]"
828653269610270721,2017-02-06T17:15:09.000Z,"""la << taxe robot >> voulue par @benoithamon serait nocive pour notre economie"" - via @cerclelesechos &gt;&gt; https://t.co/mkwu2nzwhl https://t.co/1abykgasps",92564226,Les Echos,1360026,12,18,fr,fr,[],"[('@benoithamon', 'ORG'), ('notre economie', 'PERSON'), ('@cerclelesechos &gt;&gt', 'ORG'), ('https://t.co/mkwu2nzwhl', 'GPE')]"
783733996760866816,2016-10-05T18:22:00.000Z,robot help end 12-hour stand armed suspect killed police https://t.co/tlv551dsvd https://t.co/fdtyhlo3as,16887175,The Mirror,1358958,4,3,en,en,[],"[('12-hour', 'TIME'), ('https://t.co/fdtyhlo3as', 'PERSON')]"
1050350770141433856,2018-10-11T11:41:52.000Z,"rt @lacroix: de l'intelligence artificielle pour le tri de dechets\n\nsur son site d'amiens, veolia vient d'installer un robot pour ameliore...",12272292,La Croix,75796,0,3,fr,fr,[],"[('tri de dechets\\n\\nsur', 'PERSON'), (""d'installer"", 'ORG'), ('un', 'ORG')]"
919862988965924864,2017-10-16T09:50:01.000Z,arturo san agustin critica en su ultima novela la ciencia considerada como una nueva religion https://t.co/andmurnird por @josepmassot,74453123,La Vanguardia,1323203,1,3,es,es,[],"[('arturo san agustin critica', 'PERSON'), ('novela la ciencia considerada como', 'ORG')]"
1048114042643079169,2018-10-05T07:33:55.000Z,"rt @elpais_retina: ""las relaciones interpersonales la experiencia son valores imposibles de alcanzar para un robot. ellos solo ven datos,...",7996082,EL PAÍS,8637694,0,23,es,es,[],"[('un', 'ORG'), ('ven datos', 'PERSON')]"
928805444356886528,2017-11-10T02:04:08.000Z,'do bingo night?': new zealand chatbots designed scam scammer https://t.co/gullutlmyc,87818409,The Guardian,10673271,14,14,en,en,[],"[('new zealand chatbots', 'ORG')]"
924052032830496768,2017-10-27T23:15:47.000Z,la inteligencia artificial burla el mitico test captcha https://t.co/p6ytjfatk3 https://t.co/y0jh8b0erb,112694236,La Razón,577290,4,4,es,es,[],"[('la inteligencia artificial', 'GPE'), ('burla el mitico', 'PERSON'), ('https://t.co/p6ytjfatk3', 'PERSON')]"
933004328977223680,2017-11-21T16:09:01.000Z,rt @mirrortech: humanoid robot mimic body movement every sci-fi nerd's fantasy https://t.co/ugb1jhp6bb https://t.co/9rbzmjhk...,16887175,The Mirror,1358958,0,3,en,en,[],"[('rt @mirrortech', 'PERSON'), ('sci', 'ORG')]"
767744412424298496,2016-08-22T15:25:06.000Z,'intelligent' robot say want start business - destroy human race https://t.co/5m3beigxsm,138749160,Metro,357460,9,12,en,en,[],[]
1125594349981642758,2019-05-07T02:53:00.000Z,microsoft hat sich zur cloud-company mit angehangtem soft- und hardware-laden gewandelt - und wird wieder zum wertvollsten borsenunternehmen der welt. https://t.co/rv8flugmdz,5776022,Handelsblatt,364711,4,2,de,de,[],"[('microsoft', 'ORG')]"
1006564343993884673,2018-06-12T15:50:15.000Z,"cassie, il fattorino robot che cammina come uno struzzo https://t.co/vjahsyr3bw",18935802,Repubblica,3442518,3,1,it,it,[],[]
885500940727484418,2017-07-13T14:07:30.000Z,queen duke edinburgh given bomb disposal demo tour new met hq https://t.co/obausmndvn https://t.co/f2vdn4w8dn,38142380,Evening Standard,667740,18,10,en,en,[],"[('duke edinburgh', 'PERSON'), ('https://t.co/obausmndvn', 'NORP')]"
946763046688608256,2017-12-29T15:21:14.000Z,"intelligenza artificiale, la sfida arriva corsia: dall'autismo al cancro le diagnosi di... https://t.co/dbcxvakidd",52424550,Il Fatto Quotidiano,2176876,8,3,it,it,[],"[('intelligenza artificiale', 'ORG'), ('la sfida arriva', 'ORG'), ('al', 'PERSON'), ('https://t.co/dbcxvakidd', 'PERSON')]"
857264779710185474,2017-04-26T16:07:05.000Z,un robot pour aider le etudiants malades &gt;&gt; https://t.co/lnzphigtws https://t.co/aqv8mycwsl,38142665,Le Parisien,3125321,10,6,fr,fr,[],"[('un', 'ORG'), ('etudiants malades &gt;&gt', 'ORG'), ('https://t.co/lnzphigtws https://t.co/aqv8mycwsl', 'ORG')]"
1047823151361667073,2018-10-04T12:18:01.000Z,quand l'intelligence artificielle est autorisee poser un diagnostic medical &gt;&gt; https://t.co/ferot3la9i,92564226,Les Echos,1360007,2,3,fr,fr,[],"[(""quand l'intelligence artificielle est"", 'ORG'), ('poser un diagnostic medical &gt;&gt', 'ORG'), ('https://t.co/ferot3la9i', 'NORP')]"
1147419435793182721,2019-07-06T08:18:06.000Z,os e l'intelligenza artificiale ad indicare alle aziende quali sono lavoratori da assumere [news aggiornata alle 08:40] https://t.co/lpkeyzjn1i,18935802,Repubblica,3442508,3,0,it,it,[],"[('alle 08:40] https://t.co/lpkeyzjn1i', 'PERSON')]"
958037806261161984,2018-01-29T18:03:07.000Z,#blockchain : deux projets se disputent le marche de la gestion &gt;&gt; https://t.co/f11dowblrf https://t.co/kdxgs8g9ca,92564226,Les Echos,1360025,0,4,fr,fr,['#blockchain'],"[('marche de la gestion &gt;&gt', 'PERSON'), ('https://t.co/f11dowblrf', 'ORG')]"
1007584237321621505,2018-06-15T11:22:56.000Z,"risotto, robotics virtual reality: canada created world's best library https://t.co/xrfoqsirk1",87818409,The Guardian,10673271,68,45,en,en,[],"[('canada', 'GPE')]"
694175144210616321,2016-02-01T15:07:06.000Z,professione lego-designer: daniele gira il mondo costruendo robot con mattoncini colorati https://t.co/x5ffyn8evt https://t.co/afwtlccggc,2398052376,Repubblica Next,7437,25,10,it,it,[],"[('con mattoncini colorati', 'ORG')]"
1116686665995538432,2019-04-12T12:57:02.000Z,hypotheekadviseur wordt robot: 'hij duidelijker en objectiever' https://t.co/0lpah8dsjg,14702725,De Gelderlander,76234,0,0,nl,nl,[],[]
272111704412930048,2012-11-23T22:57:40.000Z,un journaliste du parisien condamne suite <<la diffusion du portrait robot d'un suspect de viol en serie>> http://t.co/eupjf6h3,38142665,Le Parisien,3125324,3,32,fr,fr,[],"[('un', 'ORG'), ('du parisien condamne', 'PERSON')]"
725735298857074689,2016-04-28T17:15:53.000Z,rt @mirrortech: china unleashes dalek-style police robot capable electrocuting rioter https://t.co/ggwixnthai https://t.co/q98v2uwhjt,16887175,The Mirror,1358952,0,6,en,en,[],"[('rt @mirrortech:', 'PERSON'), ('china', 'GPE'), ('rioter https://t.co/ggwixnthai https://t.co/q98v2uwhjt', 'PERSON')]"
63994113757937664,2011-04-29T15:52:40.000Z,troepen kaddafi steken grens met tunesie over: \nmisrata - troepen van de libische leider muammar kaddafi zijn vr... http://bit.ly/m6fjdi,54479333,De Stentor,21940,0,0,nl,nl,[],"[('kaddafi', 'ORG'), ('van de libische', 'ORG'), ('muammar kaddafi zijn', 'PERSON')]"
706781612827131904,2016-03-07T10:00:42.000Z,"""lo chiamavano jeeg robot"" e domani viene trovarci #webnotte, @claudsantamaria https://t.co/unxvjggdp4",2250822403,Webnotte,21430,7,4,it,it,['#webnotte'],"[('lo chiamavano', 'PERSON'), ('@claudsantamaria', 'GPE')]"
987339497359794177,2018-04-20T14:37:34.000Z,rt @axhoepner: noch zwei tage bi zur eroffnung: diese sieben trend pragen diesem jahr die hannover messe. #hm18 #handelsblatt https://...,5776022,Handelsblatt,364711,0,1,de,de,"['#hm18', '#handelsblatt']","[('noch zwei', 'PERSON'), ('zur eroffnung:', 'PERSON'), ('diese', 'NORP'), ('#hm18', 'MONEY'), ('#', 'CARDINAL'), ('handelsblatt', 'PERSON')]"
